vm,benchmark,avg,lo,hi
GraalVM CE 21.2 JDK 11,akka-uct,1.0447502380774463,1.023746555677366,1.0656725615828364
GraalVM CE 21.2 JDK 11,als,1.1846241856483328,1.1664590464090956,1.20986236953355
GraalVM CE 21.2 JDK 11,chi-square,1.1221293651057878,1.011408567339158,1.228404668957476
GraalVM CE 21.2 JDK 11,db-shootout,0.9932335645114293,0.9827734531994478,1.0258080630340851
GraalVM CE 21.2 JDK 11,dec-tree,1.0313838624656688,1.0176234942409255,1.0476523603461905
GraalVM CE 21.2 JDK 11,dotty,1.10270617944354,1.0929243946510259,1.109188024390192
GraalVM CE 21.2 JDK 11,finagle-chirper,0.886262191146002,0.8698930253129881,0.9194475344590677
GraalVM CE 21.2 JDK 11,finagle-http,1.0250680974662587,1.0083799822299815,1.0406125151150878
GraalVM CE 21.2 JDK 11,fj-kmeans,0.9600511459095536,0.9527157702214721,0.9649127979954453
GraalVM CE 21.2 JDK 11,future-genetic,1.020604646628538,0.9784889500056879,1.078113873880259
GraalVM CE 21.2 JDK 11,gauss-mix,0.8764223775590669,0.8605564328058088,0.8947815567310623
GraalVM CE 21.2 JDK 11,log-regression,0.7481262821509025,0.7413758532848238,0.7529767735441616
GraalVM CE 21.2 JDK 11,mnemonics,0.9425972857549293,0.8941478510781873,0.9746080524045188
GraalVM CE 21.2 JDK 11,movie-lens,1.0603874102850803,1.0496275192602993,1.0724977770739292
GraalVM CE 21.2 JDK 11,naive-bayes,0.8941914093527841,0.8921724456169919,0.8964969448664721
GraalVM CE 21.2 JDK 11,neo4j-analytics,2.070817562025972,1.9657863628658512,2.1763481956394237
GraalVM CE 21.2 JDK 11,page-rank,1.0492438436663607,1.0148752538365386,1.0999075066359059
GraalVM CE 21.2 JDK 11,par-mnemonics,0.9584829980720718,0.9389782214038098,0.9815975784063765
GraalVM CE 21.2 JDK 11,philosophers,1.1791073988559628,1.1067141866238186,1.2437441261382896
GraalVM CE 21.2 JDK 11,reactors,0.967913718654332,0.9444271624371038,0.9982024684287493
GraalVM CE 21.2 JDK 11,rx-scrabble,0.998771904551509,0.9888996521271408,1.009582149624174
GraalVM CE 21.2 JDK 11,scala-doku,1.1426428434660263,1.1054609099932666,1.2082797643156198
GraalVM CE 21.2 JDK 11,scala-kmeans,0.4811523932235643,0.4754425821455284,0.503397182779182
GraalVM CE 21.2 JDK 11,scala-stm-bench7,0.9706035321460884,0.9594379375147359,0.9842000229727776
GraalVM CE 21.2 JDK 11,scrabble,1.2082642203676355,1.1779772447216104,1.238524866322927
GraalVM EE 21.2 JDK 11,akka-uct,1.1005558895267105,1.074609459644706,1.1283363235009045
GraalVM EE 21.2 JDK 11,als,1.6748830234766088,1.6450871752528269,1.7133844379926628
GraalVM EE 21.2 JDK 11,chi-square,1.676839288044115,1.4827426766190788,1.8503079462051908
GraalVM EE 21.2 JDK 11,db-shootout,1.1205427220514455,1.1084956012236953,1.1304143598412333
GraalVM EE 21.2 JDK 11,dec-tree,1.429177885208984,1.4138778402428933,1.4465295749142217
GraalVM EE 21.2 JDK 11,dotty,1.2348199923267347,1.2232453466911217,1.2417863199540933
GraalVM EE 21.2 JDK 11,finagle-chirper,1.299313381159408,1.277649386117905,1.3431815146079933
GraalVM EE 21.2 JDK 11,finagle-http,1.0751934005854622,1.064774881915137,1.0863713059380518
GraalVM EE 21.2 JDK 11,fj-kmeans,1.0430603421266753,1.0349623388438578,1.0480528855262967
GraalVM EE 21.2 JDK 11,future-genetic,1.169494939015133,1.1365549787596496,1.1965589988302718
GraalVM EE 21.2 JDK 11,gauss-mix,1.307380023475924,1.1279520629509485,1.5716789428451343
GraalVM EE 21.2 JDK 11,log-regression,1.0229941632224748,1.0109181266856946,1.0337133128967282
GraalVM EE 21.2 JDK 11,mnemonics,2.1174205124748897,2.003527064458429,2.179539321737033
GraalVM EE 21.2 JDK 11,movie-lens,1.2376148480515108,1.2308148389769282,1.2440846292875234
GraalVM EE 21.2 JDK 11,naive-bayes,1.07369945052018,1.0121251821421176,1.0891575822144552
GraalVM EE 21.2 JDK 11,neo4j-analytics,3.0989211717516487,2.9839499732219905,3.22879523117378
GraalVM EE 21.2 JDK 11,page-rank,1.2075046577724329,1.1712751725611343,1.2645872080113518
GraalVM EE 21.2 JDK 11,par-mnemonics,2.1441199304711254,2.1072693841665826,2.190288659181274
GraalVM EE 21.2 JDK 11,philosophers,1.2988746412816812,1.2515455643197342,1.341731646560696
GraalVM EE 21.2 JDK 11,reactors,1.041783451727618,1.0147897087874764,1.0686977086539802
GraalVM EE 21.2 JDK 11,rx-scrabble,1.1636616582456323,1.1556987694568743,1.1708476938437888
GraalVM EE 21.2 JDK 11,scala-doku,2.428315594789209,2.166975877910439,2.6861456349665174
GraalVM EE 21.2 JDK 11,scala-kmeans,1.2838812940570339,1.267892680136014,1.3517664114288999
GraalVM EE 21.2 JDK 11,scala-stm-bench7,1.1230453245311705,1.0929279523093898,1.1492838177653464
GraalVM EE 21.2 JDK 11,scrabble,2.3988931650724,2.256308628491871,2.501071158148865
OpenJDK 11,akka-uct,1,0.9888312565096242,1.01133107331976
OpenJDK 11,als,1,0.9763548392824126,1.0240532136803346
OpenJDK 11,chi-square,1,0.875369234749214,1.1404159677997947
OpenJDK 11,db-shootout,1,0.9938053666848236,1.0062748879848105
OpenJDK 11,dec-tree,1,0.9869317146717231,1.0134243097155224
OpenJDK 11,dotty,1,0.9910670470619197,1.009075386419587
OpenJDK 11,finagle-chirper,1,0.978793759784028,1.0211163305595143
OpenJDK 11,finagle-http,1,0.9921408253435985,1.008123596594981
OpenJDK 11,fj-kmeans,1,0.9918848067926024,1.0083179197015815
OpenJDK 11,future-genetic,1,0.9693543837204026,1.0323662453024642
OpenJDK 11,gauss-mix,1,0.9935587931427461,1.0065904910907082
OpenJDK 11,log-regression,1,0.9916854897737122,1.0086257295094434
OpenJDK 11,mnemonics,1,0.9509466139682153,1.051721852809729
OpenJDK 11,movie-lens,1,0.9940195967738219,1.0058127345115362
OpenJDK 11,naive-bayes,1,0.9971118544993978,1.0028870156267562
OpenJDK 11,neo4j-analytics,1,0.9614448240442446,1.041758393122543
OpenJDK 11,page-rank,1,0.9493443359086109,1.05288795638603
OpenJDK 11,par-mnemonics,1,0.9858114659796912,1.014326247920393
OpenJDK 11,philosophers,1,0.9772800062882502,1.023123488025797
OpenJDK 11,reactors,1,0.9734905825034937,1.027952699482589
OpenJDK 11,rx-scrabble,1,0.9919111389557351,1.0079077727591077
OpenJDK 11,scala-doku,1,0.9859593887833905,1.0141640685438553
OpenJDK 11,scala-kmeans,1,0.9671575195464436,1.0356522457422124
OpenJDK 11,scala-stm-bench7,1,0.9826254839007951,1.0179198078151854
OpenJDK 11,scrabble,1,0.9802255247874869,1.0206275263353892
